@relation flare
@attribute class code : A,B,C,D,E,F,H
@attribute largest spot code : X,R,S,A,H,K
@attribute spot dist code : X,O,I,C
@attribute Activity : 1,2
@attribute Evolution : continuous
@attribute Previous 24 hour code : continuous
@attribute Historically-complex :1,2
@attribute become complex : 1,2
@attribute Area :1,2
@attribute Area of the largest spot :1,2
@attribute class 0,1
@data
H,S,X,1,3,1,1,2,1,1,0
C,R,I,1,2,1,1,2,1,1,0
D,R,O,1,3,1,1,2,1,1,1
H,S,X,2,2,1,2,2,1,1,0
C,S,O,1,3,1,1,2,1,1,0
C,S,O,1,2,1,2,2,1,1,0
D,K,I,1,3,1,2,2,1,1,0
D,R,O,1,3,1,1,2,1,1,0
B,X,O,1,2,1,1,2,1,1,0
D,H,O,1,2,1,2,2,1,1,0
E,A,I,2,2,1,2,2,1,1,0
D,A,I,2,3,1,2,2,1,1,0
C,S,O,1,3,1,1,2,1,1,0
C,R,O,1,2,1,2,2,1,1,0
H,S,X,1,2,1,1,2,1,1,0
D,S,O,1,3,1,1,2,1,1,1
D,A,I,1,3,1,2,2,1,1,0
E,S,I,1,2,1,2,2,1,1,0
C,R,O,1,3,1,1,2,1,1,0
H,S,X,1,1,1,2,2,1,1,0
H,R,X,1,1,1,1,2,1,1,1
C,H,O,1,3,1,2,2,1,1,0
D,A,I,1,3,1,1,2,1,1,0
H,A,X,1,2,1,2,1,1,1,0
H,S,X,1,2,1,1,2,1,1,0
C,A,I,1,2,1,2,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
H,S,X,1,2,1,1,2,1,1,0
H,S,X,1,2,1,2,1,1,1,0
D,A,I,2,3,2,1,2,1,1,0
D,A,I,1,3,1,1,2,1,1,0
E,K,C,2,3,3,2,2,2,1,0
H,S,X,1,2,1,1,1,1,1,0
C,R,O,1,2,1,1,2,1,1,0
H,S,X,1,3,1,1,1,1,1,0
C,S,O,1,3,1,2,2,1,1,1
C,S,O,2,3,1,1,2,1,1,1
D,S,O,1,2,1,1,2,1,1,0
C,R,O,1,3,1,1,2,1,1,0
B,X,O,1,2,1,1,2,1,1,0
H,S,X,1,2,2,2,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
H,S,X,1,3,1,1,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
D,A,O,1,3,1,1,2,1,1,0
H,S,X,2,2,1,2,2,1,1,0
E,K,I,1,3,1,2,2,2,1,0
B,X,O,1,3,1,1,2,1,1,0
H,A,X,1,2,1,2,2,1,1,0
H,R,X,1,2,1,1,2,1,1,0
E,S,I,1,3,1,1,2,1,1,0
B,X,O,1,1,1,1,2,1,1,0
H,S,X,1,1,1,1,1,1,1,0
H,S,X,1,2,1,1,1,1,1,0
B,X,O,1,3,1,1,2,1,1,0
B,X,I,1,2,1,1,2,1,1,0
H,R,X,1,3,1,1,2,1,1,0
H,A,X,1,2,1,2,2,1,1,0
D,A,O,1,2,1,1,2,1,1,0
C,S,O,1,3,1,2,2,1,1,0
B,X,O,1,2,1,2,2,1,1,0
E,A,I,1,3,1,2,2,1,1,0
D,A,I,1,3,1,2,2,1,1,0
H,S,X,1,3,1,2,1,1,1,0
H,S,X,1,3,1,1,1,1,1,0
H,S,X,1,2,1,2,1,1,1,0
H,R,X,1,2,1,1,1,1,1,0
B,X,I,1,3,1,1,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
C,R,O,1,3,1,1,2,1,1,0
H,S,X,1,2,1,2,1,1,1,0
C,S,O,1,3,1,1,2,1,1,0
D,A,I,1,3,1,1,2,1,1,0
B,X,O,1,2,1,1,2,1,1,0
H,S,X,1,2,1,2,1,1,1,0
E,S,O,2,3,1,2,2,1,1,1
D,A,I,2,2,1,2,2,1,1,1
C,A,O,1,2,1,2,2,1,1,0
E,A,O,1,2,1,2,2,1,1,1
C,A,O,1,2,1,2,2,1,1,0
D,R,O,1,3,1,1,2,1,1,0
H,S,X,1,3,1,2,2,1,1,1
H,A,X,1,3,1,1,1,1,1,0
C,R,O,1,3,1,1,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
H,S,X,1,2,1,1,1,1,1,0
H,S,X,1,3,1,1,1,1,1,0
C,R,I,1,3,1,1,2,1,1,1
C,R,O,1,2,1,1,2,1,1,0
D,S,I,1,1,1,2,2,1,1,0
D,K,I,2,3,2,2,2,1,1,1
B,X,O,1,2,1,1,2,1,1,0
H,A,X,1,2,1,2,2,1,1,0
D,A,I,1,2,1,2,2,1,1,1
B,X,O,1,2,1,1,2,1,1,0
D,A,I,1,3,1,1,2,1,1,0
C,S,O,2,2,1,2,2,1,1,0
C,R,O,1,3,1,1,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
E,A,I,1,2,1,2,2,1,1,1
C,R,O,1,2,1,1,2,1,1,0
D,S,O,2,2,3,2,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
C,A,O,1,3,1,2,2,1,1,0
D,S,I,2,3,1,1,2,1,1,0
D,A,O,1,3,1,1,2,1,1,1
H,S,X,1,2,1,1,2,1,1,0
C,S,O,2,3,1,1,2,1,1,0
D,A,O,1,3,1,1,2,1,1,0
F,S,I,1,3,1,2,2,1,1,1
H,R,X,1,2,1,1,2,1,1,0
H,S,X,1,3,1,1,1,1,1,0
E,A,O,1,2,1,2,2,1,1,0
H,S,X,1,2,1,2,1,1,1,0
B,X,O,1,3,1,1,2,1,1,0
H,S,X,1,3,1,1,2,1,1,0
E,S,I,2,3,1,2,2,1,1,0
B,X,I,1,3,1,1,2,1,1,0
C,A,O,1,2,1,2,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
D,K,I,1,3,1,2,2,1,1,1
D,S,I,1,3,1,1,2,1,1,0
E,S,O,1,2,1,1,2,1,1,0
H,S,X,1,2,1,2,1,1,1,0
C,S,O,1,2,1,1,2,1,1,0
C,R,O,1,3,1,1,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
C,R,O,1,2,1,1,2,1,1,0
D,R,I,2,3,1,2,2,1,1,1
H,S,X,2,2,1,1,2,1,1,0
H,R,X,1,2,1,1,2,1,1,0
D,S,O,2,2,1,1,2,1,1,0
H,S,X,1,3,1,1,2,1,1,1
H,S,X,1,3,1,1,2,1,1,0
F,K,I,1,2,1,2,2,1,1,1
H,S,X,1,2,1,2,1,1,1,0
C,R,I,1,2,1,1,2,1,1,1
D,S,O,1,2,1,2,2,1,1,1
F,K,I,1,2,1,2,2,2,1,0
D,A,I,2,2,3,2,2,1,1,0
F,A,I,2,2,1,2,2,1,1,0
H,R,X,1,3,1,1,2,1,1,0
H,S,X,1,2,1,1,2,1,1,0
C,S,O,1,3,1,1,2,1,1,0
F,H,O,1,2,1,2,2,1,1,1
D,R,O,1,3,1,1,2,1,1,0
C,S,O,2,3,1,1,2,1,1,0
B,X,O,1,2,1,1,2,1,1,0
H,A,X,1,2,1,1,1,1,1,0
E,H,O,2,2,1,2,2,1,1,1
C,S,O,1,3,1,1,2,1,1,0
H,A,X,1,2,1,1,2,1,1,0
H,S,X,1,2,1,1,2,1,1,1
E,A,I,2,2,1,1,2,1,1,1
H,H,X,1,3,1,1,1,1,1,0
H,A,X,1,1,1,2,2,1,1,0
H,S,X,1,2,1,2,1,1,1,0
D,A,I,1,3,1,1,2,1,1,0
F,A,I,1,3,1,1,2,1,1,0
C,A,I,1,2,1,2,2,1,1,0
D,A,I,1,3,1,2,2,1,1,0
E,H,I,1,3,1,2,2,1,1,1
H,S,X,1,1,1,1,1,1,1,0
B,X,I,2,2,1,2,2,1,1,0
F,K,C,2,3,1,2,2,2,1,0
E,K,C,1,3,1,2,2,2,1,1
B,X,O,1,2,1,1,2,1,1,0
F,A,I,1,2,1,2,2,1,1,0
E,K,I,1,3,1,2,2,2,1,1
H,R,X,1,1,1,2,2,1,1,0
C,R,O,1,2,1,1,2,1,1,0
C,S,O,1,2,1,1,2,1,1,0
D,R,O,1,3,1,1,2,1,1,0
D,A,I,1,2,1,2,2,1,1,0
B,X,O,2,2,1,1,2,1,1,0
H,R,X,1,3,1,1,2,1,1,0
D,H,O,1,3,1,2,2,1,1,0
H,S,X,1,2,1,1,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
D,S,O,2,3,2,1,2,1,1,1
H,S,X,1,3,1,1,2,1,1,0
H,S,X,1,3,1,1,2,1,1,0
B,X,O,1,2,1,1,2,1,1,0
E,A,O,1,3,1,2,2,1,1,0
B,X,O,1,1,1,2,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
D,R,O,1,2,1,1,2,1,1,0
H,S,X,1,2,1,1,2,1,1,0
E,A,I,1,2,1,2,2,1,1,0
H,S,X,1,1,1,1,2,1,1,0
D,H,O,1,3,1,2,2,1,1,0
D,S,O,1,3,1,1,2,1,1,0
B,X,O,1,3,1,1,2,1,1,1
H,S,X,1,3,1,1,2,1,1,0
H,S,X,1,2,1,1,2,1,1,0
H,S,X,1,2,1,1,1,1,1,1
E,H,O,2,2,1,2,2,1,1,1
H,S,X,1,2,1,1,2,1,1,0
C,R,O,1,3,1,1,2,1,1,1
H,S,X,1,2,1,1,1,1,1,1
H,S,X,1,3,1,2,1,1,1,0
B,S,O,1,3,1,1,2,1,1,0
D,R,I,1,3,1,2,2,1,1,0
D,S,I,1,3,1,1,2,1,1,0
F,K,C,2,2,1,2,2,1,1,1
H,A,X,1,3,1,2,1,1,1,0
E,K,I,2,2,1,2,2,1,1,1
H,S,X,1,3,1,1,1,1,1,0
H,R,X,1,1,1,1,2,1,1,0
E,R,O,2,2,1,2,2,1,1,0
D,S,I,1,3,1,1,2,1,1,0
H,A,X,1,3,1,1,1,1,1,0
H,S,X,1,3,1,1,1,1,1,0
D,R,O,1,2,1,1,2,1,1,0
H,S,X,1,3,1,1,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
H,S,X,1,2,1,2,1,1,1,0
H,S,X,1,3,1,1,1,1,1,0
C,S,O,1,2,1,2,2,1,1,0
H,R,X,2,1,1,2,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
E,A,C,2,2,1,2,2,1,1,0
E,A,O,2,3,1,2,2,1,1,0
C,A,O,1,3,1,1,2,1,1,0
H,R,X,1,2,1,1,2,1,1,0
B,X,I,1,2,1,2,2,1,1,0
H,S,X,1,2,1,2,2,1,1,0
C,R,O,1,2,1,1,2,1,1,0
D,S,I,1,3,1,2,2,1,1,0
C,R,O,1,3,1,1,2,1,1,0
D,A,I,1,3,1,1,2,1,1,0
C,R,O,1,2,1,1,2,1,1,0
C,K,O,1,2,1,1,2,1,1,1
E,S,I,1,2,1,2,2,1,1,0
C,A,O,1,1,1,1,2,1,1,0
H,R,X,1,1,1,2,2,1,1,0
H,S,X,1,3,1,1,1,1,1,0
H,S,X,1,2,1,2,2,1,1,0
C,H,O,1,3,1,1,2,1,1,0
H,R,X,1,2,1,1,2,1,1,0
E,S,I,1,2,1,2,2,1,1,0
E,S,O,1,2,1,1,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
C,S,O,1,3,1,1,2,1,1,0
H,S,X,1,2,1,1,2,1,1,0
E,S,I,2,2,1,2,2,1,1,1
C,R,I,1,3,1,1,2,1,1,0
E,A,I,1,2,1,2,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
D,A,I,1,2,1,2,2,1,1,1
B,X,O,1,3,1,1,2,1,1,0
D,A,O,2,3,1,1,2,1,1,0
H,R,X,1,2,1,2,2,1,1,0
D,A,I,1,2,1,2,2,1,1,0
D,R,I,1,3,1,1,2,1,1,1
H,S,X,1,3,1,1,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
H,R,X,1,3,1,1,2,1,1,0
D,S,O,1,3,1,1,2,1,1,0
H,S,X,1,2,1,1,2,1,1,1
D,S,O,1,2,1,2,2,1,1,0
C,A,O,1,2,1,2,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
H,S,X,1,3,1,2,1,1,1,0
D,A,O,1,2,1,1,2,1,1,0
D,S,I,1,2,1,2,2,1,1,0
B,X,O,1,2,1,1,2,1,1,0
H,S,X,1,2,1,1,1,1,1,0
C,A,O,1,2,1,2,2,1,1,0
B,X,O,1,3,1,1,2,1,1,0
D,K,I,2,3,1,2,2,1,1,1
B,X,O,1,3,1,1,2,1,1,0
D,A,O,1,3,1,2,2,1,1,0
D,R,O,1,3,1,1,2,1,1,1
H,S,X,1,2,1,1,1,1,1,0
H,S,X,1,3,1,1,1,1,1,0
